T_GeV,T_MeV,a_internal,a_physical,z,H_RTK_over_c_Mpc_inv,H_sameparams_LCDM_over_c_Mpc_inv,R_H
2.014381971542266e-05,0.020143819715422662,7.305198365020164e-08,1.3077007534463585e-08,94024150.25891532,8883916466.86816,8883916491.48043,0.9999999972301675
2.0768434002345295e-05,0.020768434002345296,7.397274310322527e-08,1.2715274837173114e-08,97347476.92962722,9306584324.089558,9306584350.561047,0.9999999971554728
2.141299960095183e-05,0.02141299960095183,7.491777188654533e-08,1.2384788463058337e-08,100785695.45713179,9746453019.16814,9746453047.64711,0.9999999970776511
2.207833293513178e-05,0.02207833293513178,7.588682751007842e-08,1.2086176498965216e-08,104340458.5387923,10204022100.12389,10204022130.768032,0.9999999969966032
2.2765304907570057e-05,0.022765304907570054,7.68796110733637e-08,1.1819631834258121e-08,108015866.79172261,10679613255.912737,10679613288.888294,0.9999999969118659
2.3474841868575873e-05,0.023474841868575874,7.789575223963012e-08,1.158640196256965e-08,111816162.13133201,11173904145.285494,11173904180.766033,0.9999999968244407
2.4207926626121986e-05,0.024207926626121985,7.893479109977457e-08,1.1387557847501216e-08,115745723.24353032,11687594916.52816,11687594954.696186,0.9999999967335734
2.496559940752622e-05,0.024965599407526223,7.999616964167674e-08,1.1223983093634222e-08,119809070.00802082,12221409013.498146,12221409054.543283,0.9999999966415118
2.5748961752830475e-05,0.025748961752830476,8.108021969233802e-08,1.109635308721913e-08,124010868.08276656,12776094157.601942,12776094201.721659,0.9999999965469221
2.655918864816114e-05,0.02655918864816114,8.21871546727244e-08,1.1005124123631938e-08,128355933.4506218,13352423316.85367,13352423364.253267,0.9999999964502815
2.7397530562260636e-05,0.027397530562260638,8.331706911868762e-08,1.0950512575979185e-08,132849238.96666205,13951295910.036379,13951295960.929237,0.9999999963518008
2.826531554376688e-05,0.02826531554376688,8.446992421914848e-08,1.0932493975929607e-08,137495921.82473323,14573638906.594751,14573638961.203457,0.9999999962511409
2.9163951407212903e-05,0.029163951407212903,8.564553122071288e-08,1.0950792448135756e-08,142301290.97362822,15220407990.41038,15220408048.967598,0.9999999961495158
3.0094938077280434e-05,0.030094938077280444,8.684352374052172e-08,1.1004870154181566e-08,147270834.41558114,15892588310.525404,15892588373.27446,0.9999999960503472
3.105987018609125e-05,0.03105987018609125,8.80633397248885e-08,1.1093926631930016e-08,152410226.431508,16591195180.694492,16591195247.889618,0.9999999959499736
3.206044971183737e-05,0.03206044971183737,8.930420583103396e-08,1.1216907982234257e-08,157725334.77806664,17317274676.07907,17317274747.986767,0.9999999958466894
3.3098498806735006e-05,0.033098498806735006,9.056512131562564e-08,1.1372512436038286e-08,163222228.8390944,18071804336.52484,18071804413.424942,0.9999999957441601
3.4175962753856214e-05,0.03417596275385621,9.18448380136061e-08,1.1559205976694175e-08,168907188.71246353,18855793808.939175,18855793891.124126,0.9999999956421205
3.529491302316462e-05,0.03529491302316462,9.31418498562475e-08,1.1775228267170337e-08,174786715.27761537,19670285355.360657,19670285443.137623,0.9999999955395646
3.6457560466982964e-05,0.036457560466982965,9.445438173708812e-08,1.2018628484136015e-08,180867538.28438106,20516354562.37071,20516354656.0615,0.9999999954372484
3.766626885285019e-05,0.03766626885285019,9.57803783771325e-08,1.228730333553166e-08,187156624.48652723,21395111027.145245,21395111127.087074,0.9999999953295978
3.892356875359474e-05,0.03892356875359474,9.711747333653616e-08,1.2579001960144113e-08,193661187.82145488,22307700070.62432,22307700177.17022,0.9999999952230314
4.023216150720875e-05,0.04023216150720875,9.846295789878537e-08,1.2891418769611344e-08,200388699.62298205,23255299303.73619,23255299417.254196,0.9999999951265973
4.159492323224238e-05,0.04159492323224238,9.981375004609238e-08,1.3222170133710203e-08,207346900.8685118,24239121280.24047,24239121400.1142,0.9999999950457163
4.301491914443038e-05,0.04301491914443038,1.0116660926865623e-07,1.3568831424688601e-08,214543813.51504588,25260411146.874004,25260411273.503056,0.9999999949872697
4.4495418405423674e-05,0.044495418405423676,1.0251335289392876e-07,1.3928950663319553e-08,221987752.3560219,26320443246.09049,26320443379.891697,0.9999999949157163
4.6039909327350794e-05,0.04603990932735079,1.0385193985760724e-07,1.4300079530715816e-08,229687335.77327752,27420519963.6924,27420520104.99254,0.9999999948461815
4.765211539407489e-05,0.04765211539407489,1.0518021392370584e-07,1.4680141281279794e-08,237651497.94682944,28561970076.276302,28561970225.41099,0.9999999947783107
4.933601169913238e-05,0.04933601169913238,1.0649589041596276e-07,1.5067158333068474e-08,245889501.0476802,29746146763.16695,29746146920.48144,0.9999999947131258
5.109584194659246e-05,0.05109584194659246,1.0779655656384481e-07,1.545937704225169e-08,254410951.32726392,30974425387.262104,30974425553.11182,0.9999999946451392
5.293612620657864e-05,0.052936126206578644,1.090796666309149e-07,1.585527531855243e-08,263225819.18141282,32248201505.245266,32248201680.996437,0.9999999945503064
5.486167919300063e-05,0.054861679193000626,1.1034254123275168e-07,1.6253570154196807e-08,272344458.12748617,33568888244.453346,33568888430.482384,0.9999999944595397
5.68776288540847e-05,0.056877628854084704,1.1158236579233523e-07,1.6653215471935582e-08,281777626.7351584,34937913844.04814,34937914040.74275,0.9999999943699921
5.898942534751674e-05,0.05898942534751674,1.127961903762542e-07,1.705343963122329e-08,291536509.53716135,36356719003.12315,36356719210.88265,0.9999999942852763
6.120287996410869e-05,0.06120287996410869,1.1398083620588589e-07,1.745371303133724e-08,301632741.4202195,37826754115.670296,37826754334.90677,0.9999999942035991
6.35241541653314e-05,0.0635241541653314,1.151329996880571e-07,1.785371941940305e-08,312078433.820349,39349475857.98623,39349476089.12424,0.9999999941261889
6.596978000914098e-05,0.06596978000914099,1.162492584335846e-07,1.8253335472247047e-08,322886192.515707,40926343889.12272,40926344132.600624,0.9999999940569968
6.854667517610955e-05,0.06854667517610955,1.1732607675661955e-07,1.865260965776227e-08,334069138.66786677,42558816992.379776,42558817248.650566,0.9999999939736389
7.126216576881072e-05,0.07126216576881071,1.183598130742597e-07,1.9051731130686245e-08,345641930.71443474,44248353304.775314,44248353574.309616,0.9999999939062666
7.412400541117498e-05,0.07412400541117498,1.1934672749190028e-07,1.945100784373513e-08,357620787.67764294,45996314101.332375,45996314384.62028,0.9999999938405961
7.714039975794125e-05,0.07714039975794125,1.2028299352052803e-07,1.9850834993709437e-08,370023513.2378418,47803978949.49308,47803979246.05058,0.9999999937965142
8.031995787424009e-05,0.0803199578742401,1.211647099960389e-07,2.02516535529131e-08,382869522.11657816,49672530197.31503,49672530507.68785,0.9999999937522355
8.366173207166679e-05,0.08366173207166679,1.2198791328092195e-07,2.065391890346818e-08,396179866.8715622,51603054774.545456,51603055099.31286,0.9999999937113764
8.717524130354196e-05,0.08717524130354196,1.227485889121331e-07,2.1058100465919058e-08,409977260.95333916,53596545079.11868,53596545418.89275,0.9999999936604613
9.087050775880684e-05,0.09087050775880684,1.2344268342752507e-07,2.1464681535691695e-08,424286104.45157194,55653900026.25196,55653900381.678894,0.9999999936133577
9.475808701856551e-05,0.0947580870185655,1.2406611574357444e-07,2.18741595666777e-08,439132509.99924076,57775926177.41767,57775926549.17891,0.9999999935659789
9.884910237801347e-05,0.09884910237801348,1.2461478734224283e-07,2.228704691504049e-08,454544334.3605797,59963335321.19762,59963335710.00047,0.9999999935165089
0.00010315625899104529,0.10315625899104529,1.2508459257806835e-07,2.2703860442516706e-08,470551213.37631273,62216741405.740204,62216741812.3192,0.9999999934644727
0.0001076871910737244,0.1076871910737244,1.254714305545562e-07,2.3125121035296066e-08,487184605.92133665,64536657553.100525,64536657978.21628,0.999999993413314
0.00011244974845013483,0.11244974845013483,1.2577121867382832e-07,2.3551353135567483e-08,504477839.70859957,66923491862.169624,66923492307.60839,0.9999999933464313
0.0001174572092828476,0.1174572092828476,1.2597990787604456e-07,2.3983084464955695e-08,522466155.16806567,69377557068.70866,69377557536.28478,0.999999993260766
0.00012272352127975376,0.12272352127975376,1.260934989132259e-07,2.4420845755446123e-08,541186754.191004,71900057630.46797,71900058122.02351,0.9999999931583704
0.00012826339146188812,0.12826339146188812,1.2610805862902017e-07,2.4865170380223178e-08,560678854.9820677,74492182554.71422,74492183072.1234,0.9999999930565493
0.00013409238756852613,0.13409238756852612,1.2601973663604756e-07,2.531659399731485e-08,580983746.3576435,77155105778.14671,77155106323.31715,0.9999999929341918
0.00014022704420402302,0.14022704420402302,1.258247825441546e-07,2.5775654221655954e-08,602144840.8210939,79890070751.29643,79890071326.17749,0.999999992804145
0.0001466849788402393,0.14668497884023932,1.255195633473329e-07,2.6242880258186543e-08,624208731.194107,82698448357.17535,82698448963.76523,0.9999999926647747
0.0001534840197102012,0.1534840197102012,1.2510058278056775e-07,2.6718792492368727e-08,647225264.4359843,85581525499.0226,85581526139.3679,0.9999999925173234
0.0001606433436267778,0.1606433436267778,1.245644996764721e-07,2.7203919952455932e-08,671247618.324706,88540579487.28636,88540580163.47327,0.9999999923627951
0.0001681836107164697,0.1681836107164697,1.2390814513591248e-07,2.7698796705219076e-08,696332372.4371097,91576856944.36497,91576857658.52083,0.999999992202648
0.00017612611813186038,0.17612611813186038,1.2312843949061036e-07,2.8203963866591998e-08,722539254.3923994,94691555327.82396,94691556082.1167,0.9999999920355843
